% Model,ZnO piezo unit_2.mph
% Version,COMSOL 6.4.0.343
% Date,"Apr 30 2026, 21:00"
% Table,Resonant Frequency vs Pressure - 
% p_app (kPa),freq (MHz),Frequency (MHz),log|Z|,Conductance (S)
0,210.2,210.2,2.962137812249077,4.153632039705523E-6
0,210.25,210.25,2.957297830981195,3.40463764861304E-6
0,210.29999999999998,210.29999999999998,2.9532656154781805,2.8785373883000717E-6
0,210.35,210.35,2.94980716045965,2.4945944481871104E-6
0,210.39999999999998,210.39999999999998,2.946771497786475,2.205573776025927E-6
0,210.45,210.45,2.94405686953909,1.9823488766405178E-6
0,210.5,210.5,2.9415921840407053,1.8061688013862087E-6
0,210.54999999999998,210.54999999999998,2.939326266625151,1.66451998294035E-6
0,210.6,210.6,2.9372213342558324,1.548792779064157E-6
0,210.64999999999998,210.64999999999998,2.9352488772478726,1.4529063204179332E-6
0,210.7,210.7,2.933386972442184,1.3724669602138174E-6
0,210.75,210.75,2.9316184792769264,1.3042361925642753E-6
0,210.79999999999998,210.79999999999998,2.9299297979244723,1.2457845064305936E-6
0,210.85,210.85,2.9283099953007783,1.1952604673793258E-6
0,210.89999999999998,210.89999999999998,2.9267501778110234,1.151233189599746E-6
0,210.95,210.95,2.925243033228232,1.1125827046678286E-6
0,211,211,2.9237824907916976,1.0784222795563538E-6
0,211.04999999999998,211.04999999999998,2.922363465402843,1.0480424701850569E-6
0,211.1,211.1,2.920981662606041,1.0208702284343077E-6
0,211.14999999999998,211.14999999999998,2.9196334281438068,9.964386056149483E-7
0,211.2,211.2,2.9183156306363376,9.743640268188031E-7
0,211.25,211.25,2.917025569176015,9.54329048810805E-7
0,211.29999999999998,211.29999999999998,2.9157608998738516,9.360691399001346E-7
0,211.35,211.35,2.914519576971849,9.193624443067758E-7
0,211.39999999999998,211.39999999999998,2.913299805257487,9.040217851628178E-7
0,211.45,211.45,2.912100001327232,8.898883636694194E-7
0,211.5,211.5,2.9109187618350814,8.768267553513783E-7
0,211.54999999999998,211.54999999999998,2.909754837299173,8.647209070799635E-7
0,211.6,211.6,2.908607110361318,8.534709124684051E-7
0,211.64999999999998,211.64999999999998,2.9074745776404267,8.429903974091499E-7
0,211.7,211.7,2.906356334503666,8.332043872835822E-7
0,211.75,211.75,2.905251562221509,8.240475571094822E-7
0,211.79999999999998,211.79999999999998,2.9041595170812653,8.154627880073917E-7
0,211.85,211.85,2.903079521118504,8.073999702384444E-7
0,211.89999999999998,211.89999999999998,2.9020109541916064,7.998150058810658E-7
0,211.95,211.95,2.9009532471769304,7.926689739697082E-7
0,212,212,2.899905876103081,7.859274286037502E-7
0,212.04999999999998,212.04999999999998,2.8988683570756493,7.795598063614261E-7
0,212.1,212.1,2.897840241869981,7.735389240543067E-7
0,212.14999999999998,212.14999999999998,2.8968211140911135,7.67840551406103E-7
0,212.2,212.2,2.895810585816189,7.624430462299868E-7
0,212.25,212.25,2.8948082946498626,7.573270418550131E-7
0,212.29999999999998,212.29999999999998,2.893813901133545,7.52475178490745E-7
0,212.35,212.35,2.892827086459313,7.478718716246533E-7
0,212.39999999999998,212.39999999999998,2.891847550446467,7.435031117825704E-7
0,212.45,212.45,2.8908750097458524,7.39356290889058E-7
0,212.5,212.5,2.8899091962417196,7.354200513650842E-7
0,212.54999999999998,212.54999999999998,2.888949855625203,7.316841545850548E-7
0,212.6,212.6,2.8879967461183598,7.281393660004017E-7
0,212.64999999999998,212.64999999999998,2.8870496373287633,7.247773545808417E-7
0,212.7,212.7,2.8861083092198356,7.2159060459929E-7
0,212.75,212.75,2.8851725511817317,7.18572338117259E-7
0,212.79999999999998,212.79999999999998,2.8842421611914486,7.157164467496493E-7
0,212.85,212.85,2.883316945051592,7.13017431504768E-7
0,212.89999999999998,212.89999999999998,2.8823967156979586,7.104703496688147E-7
0,212.95,212.95,2.8814812925693203,7.08070767865143E-7
0,213,213,2.880570501030745,7.058147205325982E-7
0,213.04999999999998,213.04999999999998,2.8796641718459868,7.036986731475095E-7
0,213.1,213.1,2.8787621406921717,7.017194896740054E-7
